# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     0.04%  [.] 0x0000000072a61754               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000074649da0               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb1a660               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb9b730               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000007295c680               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072984b5c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000729fdbc8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a197e8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a21f94               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a5ff9c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fc4576c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a578c0               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e474300               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000007c998bcc               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000011fd054               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x0000000072a63d78               [JIT] tid 45815                   -      -            
     0.04%  [k] 0xffffffdafdb15c90               [unknown]                         -      -            
     0.04%  [.] 0x00000000f73f8360               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e486f6c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb19f60               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f73f834c               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x0000000000227f86               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000012101fa               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000f73cfac4               [JIT] tid 45815                   -      -            
     0.03%  [.] __ctype_tolower_loc@plt          box86                             -      -            
     0.03%  [.] 0x000000006fb66dc0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000006fb158cc               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000f750466c               [JIT] tid 45815                   -      -            
     0.03%  [.] getrusage                        libc.so.6                         -      -            
     0.03%  [.] 0x000000007295c534               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000001ed240               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000013110c0               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x0000000074632b50               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000006fb16ea4               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000745daab0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000f74144c4               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000001f4680               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000744f56ac               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000006fb1aab0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000000120c840               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000001f507c               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000000120f2b0               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb16d30               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000000009c6bc               libc.so.6                         -      -            
     0.03%  [.] glBlendFunc                      libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb16d60               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000011ef3bc               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x0000000074521d40               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000000132626a               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000745d209c               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x000000006fb69b04               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000011ee914               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb16fc0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000001e97d0               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb69bf0               [JIT] tid 45815                   -      -            
     0.03%  [.] fseek@plt                        libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x00000000011f6f40               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000000130fcec               libmali.so.1.10.0                 -      -            
     0.03%  [.] 0x000000006fb16dc0               [JIT] tid 45815                   -      -            
     0.03%  [.] 0x00000000011ee66a               libmali.so.1.10.0                 -      -            
